2025-11-13 20:08:37.665 | INFO    | gauges.system.pipeline.IndexStore.<init>(IndexStore.java:34) | [IndexStore] constructed
2025-11-13 20:08:37.670 | INFO    | gauges.system.pipeline.IndexFetcher.start(IndexFetcher.java:69) | [IndexFetcher] start endpoint=http://127.0.0.1:8000/api/snapshot period=PT0.033S timeout=PT1.5S
2025-11-13 20:08:37.803 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=1][code=200][bytes=29] body={"current":93.99625173000004}
2025-11-13 20:08:38.004 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=1
2025-11-13 20:08:38.134 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=2][code=200][bytes=29] body={"current":98.15901672999871}
2025-11-13 20:08:38.151 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=2
2025-11-13 20:08:38.239 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=3][code=200][bytes=29] body={"current":98.93380153999942}
2025-11-13 20:08:38.271 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=3
2025-11-13 20:08:38.397 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=4][code=200][bytes=30] body={"current":100.88004339999998}
2025-11-13 20:08:38.402 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=4
2025-11-13 20:08:38.452 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=5][code=200][bytes=30] body={"current":101.48637223999913}
2025-11-13 20:08:38.470 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=5
2025-11-13 20:08:38.500 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=6][code=200][bytes=30] body={"current":102.04133041999967}
2025-11-13 20:08:38.521 | INFO    | gauges.system.pipeline.IndexStore.applySnapshot(IndexStore.java:81) | [IndexStore][Debug] snapshot applied, size=0 v=6
2025-11-13 20:08:38.576 | INFO    | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:121) | [IndexFetcher][tick=7][code=200][bytes=30] body={"current":102.82100173999879}
