2025-11-13 23:08:47.995 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] sessionDir=/home/gauges/gauges/logs/ui/log-2
2025-11-13 23:08:48.002 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] file=/home/gauges/gauges/logs/ui/log-2/app.log, master=/home/gauges/gauges/logs/master.log
2025-11-13 23:08:48.003 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] data-pipline=/home/gauges/gauges/logs/ui/log-2/data-pipline
2025-11-13 23:08:48.004 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] storage=/home/gauges/gauges/Storage
2025-11-13 23:08:48.005 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | Logging enabled: true
2025-11-13 23:08:48.679 | FINE    | java.lang.Shutdown.logRuntimeExit(Shutdown.java:-1) | Runtime.exit() called with status: 143
2025-11-13 23:08:48.702 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | JUL Throwable
2025-11-13 23:08:48.705 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | java.lang.Throwable: Runtime.exit(143)
2025-11-13 23:08:48.705 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | 	at java.base/java.lang.Shutdown.logRuntimeExit(Shutdown.java:179)
2025-11-13 23:08:48.705 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | 	at java.base/java.lang.Shutdown.exit(Shutdown.java:160)
2025-11-13 23:08:48.706 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | 	at java.base/java.lang.Terminator$1.handle(Terminator.java:51)
2025-11-13 23:08:48.706 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | 	at java.base/jdk.internal.misc.Signal$1.run(Signal.java:218)
2025-11-13 23:08:48.706 | FINE    | sun.util.logging.internal.LoggingProviderImpl$JULWrapper.log(LoggingProviderImpl.java:257) | 	at java.base/java.lang.Thread.run(Thread.java:1583)
