2025-11-13 22:04:56.956 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] sessionDir=/home/gauges/gauges/logs/ui/log-3
2025-11-13 22:04:57.002 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] file=/home/gauges/gauges/logs/ui/log-3/app.log, master=/home/gauges/gauges/logs/master.log
2025-11-13 22:04:57.010 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] data-pipline=/home/gauges/gauges/logs/ui/log-3/data-pipline
2025-11-13 22:04:57.022 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [log] storage=/home/gauges/gauges/Storage
2025-11-13 22:04:57.053 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | Logging enabled: true
2025-11-13 22:04:59.075 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Boot][Probe] base=http://127.0.0.1:8000 candidates=[/api/snapshot, /index, /api/index, /v1/index, /data/index, /index.json]
2025-11-13 22:04:59.234 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Boot][Probe] http://127.0.0.1:8000/api/snapshot → status=200 in 140ms
2025-11-13 22:04:59.235 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Boot][Probe] Selected endpoint: http://127.0.0.1:8000/api/snapshot (200)
2025-11-13 22:04:59.554 | INFO    | gauges.system.pipeline.IndexStore.log(IndexStore.java:178) | [IndexStore] constructed
2025-11-13 22:04:59.557 | INFO    | gauges.system.pipeline.IndexRouter.log(IndexRouter.java:132) | [IndexRouter] installed
2025-11-13 22:04:59.575 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Pipeline] IndexFetcher started → http://127.0.0.1:8000/api/snapshot every 33 ms
2025-11-13 22:04:59.587 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Boot] Using IndexStore.applySnapshot(String) overload
2025-11-13 22:04:59.664 | INFO    | gauges.system.pipeline.IndexStore.log(IndexStore.java:178) | [IndexStore][Debug] snapshot applied, size=1 v=1
2025-11-13 22:04:59.666 | INFO    | gauges.system.pipeline.IndexStore.log(IndexStore.java:178) |   current=49.07786482000006@1763100299651
2025-11-13 22:04:59.667 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [IndexStore] snapshot applied (key=current) v=1
2025-11-13 22:04:59.674 | INFO    | sun.nio.cs.StreamEncoder.writeBytes(StreamEncoder.java:309) | [Boot] Using IndexStore.applySnapshot(String) overload
