2025-11-13 20:07:31.146 | INFO    | gauges.system.pipeline.IndexStore.<init>(IndexStore.java:34) | [IndexStore] constructed
2025-11-13 20:07:31.153 | INFO    | gauges.system.pipeline.IndexFetcher.start(IndexFetcher.java:69) | [IndexFetcher] start endpoint=http://127.0.0.1:8000/api/snapshot period=PT0.033S timeout=PT1.5S
2025-11-13 20:07:31.165 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.204 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.223 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.281 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.303 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.339 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.357 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.404 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.463 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.477 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.514 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.541 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.590 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.628 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.637 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.660 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.690 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.722 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.753 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.787 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.840 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.891 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.918 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:31.959 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.010 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.066 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.277 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.287 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.298 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.320 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.327 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.353 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.392 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.429 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.460 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.495 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.555 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.593 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.616 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.635 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.670 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.742 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.803 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.874 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:32.936 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:33.032 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:33.064 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:33.158 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
2025-11-13 20:07:33.187 | WARNING | gauges.system.pipeline.IndexFetcher.fetchOnce(IndexFetcher.java:133) | [IndexFetcher] IO error java.net.ConnectException
